venue,role,side,qty,price,mid,fee_bps,fee,spread_capture,symbol
VENUE_A,maker,SELL,40,71.3,70.61,-0.05,-0.014260000000000002,27.59999999999991,
VENUE_A,maker,SELL,20,71.3,70.61,-0.05,-0.007130000000000001,13.799999999999955,
VENUE_A,maker,SELL,20,71.3,70.61,-0.05,-0.007130000000000001,13.799999999999955,
VENUE_A,maker,BUY,40,69.9,70.59,-0.05,-0.013980000000000001,27.59999999999991,
VENUE_A,maker,SELL,40,71.3,70.59,-0.05,-0.014260000000000002,28.39999999999975,
VENUE_A,maker,BUY,40,64.7,55.0,-0.05,-0.012940000000000002,-388.0000000000001,
VENUE_A,maker,SELL,40,66.1,55.0,-0.05,-0.01322,443.9999999999998,
VENUE_A,maker,BUY,40,47.4,48.09,-0.05,-0.00948,27.600000000000193,
VENUE_A,maker,SELL,20,48.8,36.83,-0.05,-0.004880000000000001,239.39999999999998,
VENUE_A,maker,SELL,20,48.8,48.09,-0.05,-0.004880000000000001,14.199999999999875,
VENUE_A,maker,SELL,20,48.8,59.36,-0.05,-0.004880000000000001,-211.20000000000005,
VENUE_A,maker,SELL,20,48.8,59.36,-0.05,-0.004880000000000001,-211.20000000000005,
VENUE_A,maker,BUY,20,47.4,48.09,-0.05,-0.00474,13.800000000000097,
VENUE_A,maker,BUY,20,47.4,48.09,-0.05,-0.00474,13.800000000000097,
VENUE_A,maker,BUY,40,47.4,36.82,-0.05,-0.00948,-423.19999999999993,
VENUE_A,maker,SELL,40,37.5,53.74,-0.05,-0.007500000000000001,-649.6000000000001,
VENUE_A,maker,BUY,40,36.15,53.73,-0.05,-0.00723,703.1999999999999,
VENUE_A,maker,BUY,40,53.05,45.25,-0.05,-0.010610000000000001,-311.9999999999999,
VENUE_A,maker,SELL,20,54.4,45.25,-0.05,-0.00544,182.99999999999997,
VENUE_A,maker,SELL,40,45.95,57.95,-0.05,-0.00919,-480.0,
VENUE_A,maker,BUY,20,57.25,57.95,-0.05,-0.005725,14.000000000000057,
VENUE_A,maker,BUY,20,57.25,57.95,-0.05,-0.005725,14.000000000000057,
VENUE_A,maker,BUY,20,57.25,57.95,-0.05,-0.005725,14.000000000000057,
VENUE_A,maker,BUY,20,57.25,51.59,-0.05,-0.005725,-113.19999999999993,
VENUE_A,maker,SELL,20,58.65,51.59,-0.05,-0.005865,141.1999999999999,
VENUE_A,maker,BUY,40,50.9,57.94,-0.05,-0.010180000000000002,281.59999999999997,
VENUE_A,maker,SELL,40,52.3,57.94,-0.05,-0.01046,-225.60000000000002,
VENUE_A,maker,SELL,40,58.65,57.95,-0.05,-0.01173,27.99999999999983,
VENUE_A,maker,BUY,40,57.25,57.95,-0.05,-0.01145,28.000000000000114,
VENUE_A,maker,BUY,40,57.25,47.38,-0.05,-0.01145,-394.7999999999999,
VENUE_A,maker,SELL,40,58.65,58.89,-0.05,-0.01173,-9.60000000000008,
VENUE_A,maker,BUY,40,58.2,58.89,-0.05,-0.011640000000000001,27.59999999999991,
VENUE_A,maker,SELL,40,59.6,69.93,-0.05,-0.011920000000000002,-413.2000000000002,
VENUE_A,maker,SELL,40,70.65,75.47,-0.05,-0.014130000000000002,-192.79999999999973,
VENUE_A,maker,SELL,40,76.15,78.24,-0.05,-0.01523,-83.59999999999957,
VENUE_A,maker,BUY,40,86.75,84.66,-0.05,-0.01735,-83.60000000000014,
VENUE_A,maker,SELL,40,88.15,84.66,-0.05,-0.01763,139.60000000000036,
VENUE_A,maker,BUY,20,83.95,84.65,-0.05,-0.008395000000000001,14.000000000000057,
VENUE_A,maker,SELL,40,85.35,84.66,-0.05,-0.017070000000000002,27.59999999999991,
VENUE_A,maker,SELL,40,85.35,84.66,-0.05,-0.017070000000000002,27.59999999999991,
VENUE_A,maker,BUY,40,83.95,84.65,-0.05,-0.016790000000000003,28.000000000000114,
VENUE_A,maker,SELL,40,78.0,80.99,-0.05,-0.015600000000000001,-119.5999999999998,
VENUE_A,maker,BUY,40,76.6,84.66,-0.05,-0.015320000000000002,322.4000000000001,
VENUE_A,maker,SELL,40,85.35,92.03,-0.05,-0.017070000000000002,-267.2000000000003,
VENUE_A,maker,SELL,20,0.7,34.95,-0.05,-7.000000000000001e-05,-685.0,
VENUE_A,maker,SELL,20,0.7,0.0,-0.05,-7.000000000000001e-05,14.0,
VENUE_A,maker,SELL,20,0.7,34.95,-0.05,-7.000000000000001e-05,-685.0,
VENUE_A,maker,SELL,20,53.1,61.14,-0.05,-0.0053100000000000005,-160.79999999999998,
VENUE_A,maker,SELL,20,53.1,0.0,-0.05,-0.0053100000000000005,1062.0,
VENUE_A,maker,SELL,20,35.65,52.41,-0.05,-0.0035650000000000005,-335.19999999999993,
VENUE_A,maker,SELL,40,53.1,0.0,-0.05,-0.010620000000000001,2124.0,
VENUE_A,maker,SELL,40,0.7,0.0,-0.05,-0.00014000000000000001,28.0,
VENUE_A,maker,SELL,20,0.7,0.0,-0.05,-7.000000000000001e-05,14.0,
VENUE_A,maker,SELL,20,0.7,0.0,-0.05,-7.000000000000001e-05,14.0,
VENUE_A,maker,SELL,20,0.7,0.0,-0.05,-7.000000000000001e-05,14.0,
VENUE_A,maker,SELL,20,0.7,0.0,-0.05,-7.000000000000001e-05,14.0,
VENUE_A,maker,SELL,40,0.7,0.0,-0.05,-0.00014000000000000001,28.0,
VENUE_A,maker,SELL,20,0.7,0.0,-0.05,-7.000000000000001e-05,14.0,
